MUN_ID,MUN_NAME,2022_VOL_m³,2023_VOL_m³,2024_VOL_m³,2025_VOL_m³,WATER_SOURCE,2022_URL,2023_URL,2024_URL,2025_URL
1,City of Kelowna,14255000,15835000,15008000,NA,Surface Water,https://www.kelowna.ca/sites/files/1/docs/related/report_-_annual_water_and_filtration_deferral_2022_website.pdf,https://www.kelowna.ca/sites/files/1/annual_water_and_filtration_deferral_2023.pdf,https://www.kelowna.ca/sites/files/1/annual_water_and_filtration_deferral_2024_final.pdf,NA
2,Greater Vernon Water,NA,18642000,17362000,NA,Mixed,NA,https://www.rdno.ca/sites/default/files/2025-09/2023_GVW_Annual_RPT_FNL.pdf,NA,NA
3,City of Salmon Arm,3560114,3715202,3412571,3399327,Surface Water,https://www.salmonarm.ca/DocumentCenter/View/4416/2022--Annual-Water-Report,https://www.salmonarm.ca/DocumentCenter/View/5260,https://www.salmonarm.ca/DocumentCenter/View/6697/2024--Water-Quality-Report,https://www.salmonarm.ca/DocumentCenter/View/7250/2025---Annual-Water-Report?bidId=
4,City of Penticton,6986200,7557650,6720000,NA,Surface Water,https://www.penticton.ca/sites/default/files/docs/city-services/water-wastewater/2023-08-21-PDF-2022%20Annual%20Report%20-%20Water%20Treatment%20Plant.pdf,https://www.penticton.ca/sites/default/files/2024-10/2023%20Water%20Treatment%20Plant%20Annual%20Report.pdf,https://www.penticton.ca/sites/default/files/2025-07/2024%20WTP%20Annual%20Report.pdf,NA
5,City of West Kelowna,6964532,7398568,6867834,7663610,Surface Water,Trevor Paille - Design and Inspection Technologist for City of West Kelowna,Trevor Paille - Design and Inspection Technologist for City of West Kelowna,Trevor Paille - Design and Inspection Technologist for City of West Kelowna,Trevor Paille - Design and Inspection Technologist for City of West Kelowna
6,District of Sicamous,694360,543696,410644,449431,Surface Water,https://sicamous.civicweb.net/filepro/documents/51464/?preview=111087,Email from TMaier@sicamous.ca,Email from TMaier@sicamous.ca,Email from TMaier@sicamous.ca
7,District of Lake Country,7140962,7908575,7183407,8245466,Surface Water,https://www.lakecountry.bc.ca/media/file/2022-water-operations-annual-report,https://www.lakecountry.bc.ca/media/file/2023-water-operations-annual-report,https://www.lakecountry.bc.ca/media/file/2024-water-operations-annual-report,https://www.lakecountry.bc.ca/media/file/2025-water-operations-annual-report
8,District of Naramata,1585387,1724845,NA,NA,Surface Water,https://www.rdos.bc.ca/assets/Uploads/20240315-RPT-NaramataWaterAnnualReport2022Final.pdf,https://www.rdos.bc.ca/assets/Uploads/20240315-RPT-NaramataWaterAnnualReport2023Final.pdf,NA,NA
9,Sage Mesa Water Utility,235672,253440,NA,NA,Surface Water,https://www.rdos.bc.ca/assets/Uploads/20240402-RPT-SageMesaWaterAnnualReport2022Final.pdf,https://www.rdos.bc.ca/assets/Uploads/20240402-RPT-SageMesaWaterAnnualReport2023Final.pdf,NA,NA
10,Town of Oliver,10074122,10839047,11217844,11709354,Mixed,https://www.oliver.ca/sites/oliver.ca/files/2023-04/2022%20Annual%20Water%20Report%20-%20Final.pdf,https://www.oliver.ca/sites/oliver.ca/files/2024-04/2023%20Annual%20Water%20Report.pdf,https://www.oliver.ca/sites/oliver.ca/files/2025-06/2024%20Annual%20Water%20Report%20%281%29.pdf,https://www.oliver.ca/sites/oliver.ca/files/2026-05/2025%20Annual%20Water%20Report%20%283%29.pdf
11,District of Summerland,NA,NA,7891000,8663000,Surface Water,NA,NA,https://www.summerland.ca/docs/default-source/your-city-hall/plans--reports---studies/water/2024-annual-drinking-water-quality-report.pdf?sfvrsn=2aaec7fb_1,email from works&infrastructure@summerland.ca
12,District of Peachland,2249859,2460490,2250347,NA,Surface Water,https://www.peachland.ca/media/file/annual-drinking-water-report-2022pdf,https://www.peachland.ca/media/file/annual-drinking-water-report-2023pdf,https://www.peachland.ca/media/file/annual-drinking-water-report-2024pdf,NA
13,Glenmore-Ellison Improvement District,6308000,7479000,6806000,NA,Surface Water,https://www.glenmoreellison.com/media/1217/2023-geid-annual-report.pdf,https://www.glenmoreellison.com/media/1217/2023-geid-annual-report.pdf,https://www.glenmoreellison.com/media/1231/2024-geid-annual-report.pdf,NA
14,Big White,241000,244000,177000,NA,Surface Water,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/all-seasons-resorts/big-white-project-review/2026-master-plan/big-white-2026-master-plan-supporting-appendices/appendix_l_-_hydrologic_assessment.pdf,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/all-seasons-resorts/big-white-project-review/2026-master-plan/big-white-2026-master-plan-supporting-appendices/appendix_l_-_hydrologic_assessment.pdf,https://www2.gov.bc.ca/assets/gov/farming-natural-resources-and-industry/natural-resource-use/all-seasons-resorts/big-white-project-review/2026-master-plan/big-white-2026-master-plan-supporting-appendices/appendix_l_-_hydrologic_assessment.pdf,NA
15,Silver Star,129000,137000,124532,NA,Mixed,https://www.rdno.ca/sites/default/files/2026-03/2024_Silver_Star_Annual_Rtp_FNL.pdf,https://www.rdno.ca/sites/default/files/2026-03/2024_Silver_Star_Annual_Rtp_FNL.pdf,https://www.rdno.ca/sites/default/files/2026-03/2024_Silver_Star_Annual_Rtp_FNL.pdf,NA
