BasinName,Start_Date,DroughtLevel
Kettle River,NA,6
Kettle River,NA,6
Kettle River,NA,1
Kettle River,NA,0
Kettle River,NA,2
Kettle River,NA,2
Kettle River,NA,2
Kettle River,NA,2
Kettle River,NA,3
Kettle River,NA,3
Kettle River,NA,3
Kettle River,NA,2
Kettle River,NA,2
Kettle River,NA,1
Kettle River,NA,1
Kettle River,NA,1
Kettle River,NA,2
Kettle River,NA,2
Kettle River,NA,2
Kettle River,NA,3
Kettle River,NA,3
Kettle River,NA,3
Kettle River,NA,3
Kettle River,NA,3
Kettle River,NA,2
Lower Thompson,NA,6
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,3
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,1
Lower Thompson,NA,1
Lower Thompson,NA,1
Lower Thompson,NA,0
Lower Thompson,NA,0
Lower Thompson,NA,0
Lower Thompson,NA,1
Lower Thompson,NA,1
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,2
Lower Thompson,NA,1
Lower Thompson,NA,2
Lower Thompson,NA,1
Nicola,NA,6
Nicola,NA,1
Nicola,NA,2
Nicola,NA,2
Nicola,NA,2
Nicola,NA,1
Nicola,NA,2
Nicola,NA,2
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,4
Nicola,NA,4
Nicola,NA,3
Nicola,NA,3
Nicola,NA,3
Nicola,NA,2
North Thompson,NA,6
North Thompson,NA,6
North Thompson,NA,6
North Thompson,NA,0
North Thompson,NA,1
North Thompson,NA,1
North Thompson,NA,2
North Thompson,NA,2
North Thompson,NA,2
North Thompson,NA,2
North Thompson,NA,1
North Thompson,NA,1
North Thompson,NA,1
North Thompson,NA,1
North Thompson,NA,0
North Thompson,NA,0
North Thompson,NA,1
North Thompson,NA,2
North Thompson,NA,2
North Thompson,NA,3
North Thompson,NA,3
North Thompson,NA,2
North Thompson,NA,2
North Thompson,NA,2
North Thompson,NA,2
Okanagan,NA,6
Okanagan,NA,1
Okanagan,NA,1
Okanagan,NA,1
Okanagan,NA,2
Okanagan,NA,2
Okanagan,NA,2
Okanagan,NA,2
Okanagan,NA,3
Okanagan,NA,3
Okanagan,NA,2
Okanagan,NA,1
Okanagan,NA,1
Okanagan,NA,1
Okanagan,NA,0
Okanagan,NA,1
Okanagan,NA,2
Okanagan,NA,3
Okanagan,NA,3
Okanagan,NA,3
Okanagan,NA,3
Okanagan,NA,4
Okanagan,NA,3
Okanagan,NA,3
Okanagan,NA,2
Similkameen,NA,6
Similkameen,NA,1
Similkameen,NA,2
Similkameen,NA,2
Similkameen,NA,2
Similkameen,NA,3
Similkameen,NA,3
Similkameen,NA,3
Similkameen,NA,3
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,4
Similkameen,NA,3
Similkameen,NA,2
South Thompson,NA,6
South Thompson,NA,6
South Thompson,NA,6
South Thompson,NA,0
South Thompson,NA,1
South Thompson,NA,1
South Thompson,NA,1
South Thompson,NA,1
South Thompson,NA,2
South Thompson,NA,1
South Thompson,NA,1
South Thompson,NA,1
South Thompson,NA,1
South Thompson,NA,0
South Thompson,NA,0
South Thompson,NA,0
South Thompson,NA,1
South Thompson,NA,1
South Thompson,NA,2
South Thompson,NA,2
South Thompson,NA,3
South Thompson,NA,2
South Thompson,NA,2
South Thompson,NA,2
South Thompson,NA,2
