Start,End,Well,Average_m
2026-09-11 00:00:00,2026-09-12 00:00:00,OW407,11.705
2026-09-11 00:00:00,2026-09-12 00:00:00,OW404,24.025
2026-09-11 00:00:00,2026-09-12 00:00:00,OW403,38.612
2026-09-11 00:00:00,2026-09-12 00:00:00,OW409,14.005
2026-09-11 00:00:00,2026-09-12 00:00:00,OW411,7.471
2026-09-11 00:00:00,2026-09-12 00:00:00,OW410,4.804
2026-09-11 00:00:00,2026-09-12 00:00:00,OW442,21.283
2026-09-11 00:00:00,2026-09-12 00:00:00,OW413,86.218
2026-09-11 00:00:00,2026-09-12 00:00:00,OW467,11.038
2026-09-11 00:00:00,2026-09-12 00:00:00,OW506,10.359
2026-09-11 00:00:00,2026-09-12 00:00:00,OW512,2.058
2026-09-11 00:00:00,2026-09-12 00:00:00,OW510,4.304
2026-09-11 00:00:00,2026-09-12 00:00:00,OW172,15.801
2026-09-11 00:00:00,2026-09-12 00:00:00,OW154,NA
2026-09-11 00:00:00,2026-09-12 00:00:00,OW115,6.488
2026-09-11 00:00:00,2026-09-12 00:00:00,OW117,NA
2026-09-11 00:00:00,2026-09-12 00:00:00,OW180,10.725
2026-09-11 00:00:00,2026-09-12 00:00:00,OW236,24.797
2026-09-11 00:00:00,2026-09-12 00:00:00,OW262,57.51
2026-09-11 00:00:00,2026-09-12 00:00:00,OW282,8.44
2026-09-12 00:00:00,2026-09-13 00:00:00,OW407,11.692
2026-09-12 00:00:00,2026-09-13 00:00:00,OW404,24.028
2026-09-12 00:00:00,2026-09-13 00:00:00,OW403,38.616
2026-09-12 00:00:00,2026-09-13 00:00:00,OW409,13.999
2026-09-12 00:00:00,2026-09-13 00:00:00,OW411,7.481
2026-09-12 00:00:00,2026-09-13 00:00:00,OW410,4.807
2026-09-12 00:00:00,2026-09-13 00:00:00,OW442,21.299
2026-09-12 00:00:00,2026-09-13 00:00:00,OW413,86.221
2026-09-12 00:00:00,2026-09-13 00:00:00,OW467,11.044
2026-09-12 00:00:00,2026-09-13 00:00:00,OW506,10.368
2026-09-12 00:00:00,2026-09-13 00:00:00,OW512,2.063
2026-09-12 00:00:00,2026-09-13 00:00:00,OW510,4.227
2026-09-12 00:00:00,2026-09-13 00:00:00,OW172,15.621
2026-09-12 00:00:00,2026-09-13 00:00:00,OW154,NA
2026-09-12 00:00:00,2026-09-13 00:00:00,OW115,6.492
2026-09-12 00:00:00,2026-09-13 00:00:00,OW117,NA
2026-09-12 00:00:00,2026-09-13 00:00:00,OW180,10.701
2026-09-12 00:00:00,2026-09-13 00:00:00,OW236,24.801
2026-09-12 00:00:00,2026-09-13 00:00:00,OW262,57.519
2026-09-12 00:00:00,2026-09-13 00:00:00,OW282,8.442
2026-09-13 00:00:00,2026-09-14 00:00:00,OW407,11.678
2026-09-13 00:00:00,2026-09-14 00:00:00,OW404,24.03
2026-09-13 00:00:00,2026-09-14 00:00:00,OW403,38.614
2026-09-13 00:00:00,2026-09-14 00:00:00,OW409,13.992
2026-09-13 00:00:00,2026-09-14 00:00:00,OW411,7.47
2026-09-13 00:00:00,2026-09-14 00:00:00,OW410,4.808
2026-09-13 00:00:00,2026-09-14 00:00:00,OW442,21.293
2026-09-13 00:00:00,2026-09-14 00:00:00,OW413,86.203
2026-09-13 00:00:00,2026-09-14 00:00:00,OW467,11.016
2026-09-13 00:00:00,2026-09-14 00:00:00,OW506,10.378
2026-09-13 00:00:00,2026-09-14 00:00:00,OW512,2.064
2026-09-13 00:00:00,2026-09-14 00:00:00,OW510,4.15
2026-09-13 00:00:00,2026-09-14 00:00:00,OW172,15.307
2026-09-13 00:00:00,2026-09-14 00:00:00,OW154,NA
2026-09-13 00:00:00,2026-09-14 00:00:00,OW115,6.496
2026-09-13 00:00:00,2026-09-14 00:00:00,OW117,NA
2026-09-13 00:00:00,2026-09-14 00:00:00,OW180,10.68
2026-09-13 00:00:00,2026-09-14 00:00:00,OW236,24.767
2026-09-13 00:00:00,2026-09-14 00:00:00,OW262,57.487
2026-09-13 00:00:00,2026-09-14 00:00:00,OW282,8.442
2026-09-14 00:00:00,2026-09-15 00:00:00,OW407,11.666
2026-09-14 00:00:00,2026-09-15 00:00:00,OW404,24.034
2026-09-14 00:00:00,2026-09-15 00:00:00,OW403,38.628
2026-09-14 00:00:00,2026-09-15 00:00:00,OW409,13.987
2026-09-14 00:00:00,2026-09-15 00:00:00,OW411,7.486
2026-09-14 00:00:00,2026-09-15 00:00:00,OW410,4.81
2026-09-14 00:00:00,2026-09-15 00:00:00,OW442,21.328
2026-09-14 00:00:00,2026-09-15 00:00:00,OW413,86.238
2026-09-14 00:00:00,2026-09-15 00:00:00,OW467,11.054
2026-09-14 00:00:00,2026-09-15 00:00:00,OW506,10.38
2026-09-14 00:00:00,2026-09-15 00:00:00,OW512,2.069
2026-09-14 00:00:00,2026-09-15 00:00:00,OW510,4.087
2026-09-14 00:00:00,2026-09-15 00:00:00,OW172,15.296
2026-09-14 00:00:00,2026-09-15 00:00:00,OW154,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW115,6.499
2026-09-14 00:00:00,2026-09-15 00:00:00,OW117,NA
2026-09-14 00:00:00,2026-09-15 00:00:00,OW180,10.765
2026-09-14 00:00:00,2026-09-15 00:00:00,OW236,24.814
2026-09-14 00:00:00,2026-09-15 00:00:00,OW262,57.532
2026-09-14 00:00:00,2026-09-15 00:00:00,OW282,8.439
2026-09-15 00:00:00,2026-09-16 00:00:00,OW407,11.656
2026-09-15 00:00:00,2026-09-16 00:00:00,OW404,24.036
2026-09-15 00:00:00,2026-09-16 00:00:00,OW403,38.624
2026-09-15 00:00:00,2026-09-16 00:00:00,OW409,13.981
2026-09-15 00:00:00,2026-09-16 00:00:00,OW411,7.504
2026-09-15 00:00:00,2026-09-16 00:00:00,OW410,4.812
2026-09-15 00:00:00,2026-09-16 00:00:00,OW442,21.332
2026-09-15 00:00:00,2026-09-16 00:00:00,OW413,86.234
2026-09-15 00:00:00,2026-09-16 00:00:00,OW467,11.042
2026-09-15 00:00:00,2026-09-16 00:00:00,OW506,10.369
2026-09-15 00:00:00,2026-09-16 00:00:00,OW512,2.064
2026-09-15 00:00:00,2026-09-16 00:00:00,OW510,4.024
2026-09-15 00:00:00,2026-09-16 00:00:00,OW172,15.478
2026-09-15 00:00:00,2026-09-16 00:00:00,OW154,NA
2026-09-15 00:00:00,2026-09-16 00:00:00,OW115,6.507
2026-09-15 00:00:00,2026-09-16 00:00:00,OW117,NA
2026-09-15 00:00:00,2026-09-16 00:00:00,OW180,10.692
2026-09-15 00:00:00,2026-09-16 00:00:00,OW236,24.815
2026-09-15 00:00:00,2026-09-16 00:00:00,OW262,57.532
2026-09-15 00:00:00,2026-09-16 00:00:00,OW282,8.434
2026-09-16 00:00:00,2026-09-17 00:00:00,OW407,11.648
2026-09-16 00:00:00,2026-09-17 00:00:00,OW404,24.038
2026-09-16 00:00:00,2026-09-17 00:00:00,OW403,38.63
2026-09-16 00:00:00,2026-09-17 00:00:00,OW409,13.976
2026-09-16 00:00:00,2026-09-17 00:00:00,OW411,7.526
2026-09-16 00:00:00,2026-09-17 00:00:00,OW410,4.815
2026-09-16 00:00:00,2026-09-17 00:00:00,OW442,21.334
2026-09-16 00:00:00,2026-09-17 00:00:00,OW413,86.253
2026-09-16 00:00:00,2026-09-17 00:00:00,OW467,11.06
2026-09-16 00:00:00,2026-09-17 00:00:00,OW506,10.359
2026-09-16 00:00:00,2026-09-17 00:00:00,OW512,2.061
2026-09-16 00:00:00,2026-09-17 00:00:00,OW510,3.967
2026-09-16 00:00:00,2026-09-17 00:00:00,OW172,15.555
2026-09-16 00:00:00,2026-09-17 00:00:00,OW154,NA
2026-09-16 00:00:00,2026-09-17 00:00:00,OW115,6.517
2026-09-16 00:00:00,2026-09-17 00:00:00,OW117,NA
