Week ending,Current (ac-ft),1944-2025 avg (ac-ft),% of average
2025-10-07,NA,-693,NA
2025-10-14,-7849,-645,1218
2025-10-21,-2117,630,-336
2025-10-28,1057,1284,82
2025-11-04,-1375,1619,-85
2025-11-11,821,1789,46
2025-11-18,5928,2070,286
2025-11-25,1565,1398,112
2025-12-02,3324,1984,168
2025-12-09,1883,1271,148
2025-12-16,6795,1877,362
2025-12-23,2853,2171,131
2025-12-30,95,2250,4
2026-01-06,1988,1663,120
2026-01-13,706,2590,27
2026-01-20,-1091,2885,-38
2026-01-27,-130,2681,-5
2026-02-03,4227,2765,153
2026-02-10,3074,2741,112
2026-02-17,2430,3587,68
2026-02-24,-1648,3153,-52
2026-03-03,493,3681,13
2026-03-10,3097,3736,83
2026-03-17,3620,5041,72
2026-03-24,9267,5144,180
2026-03-31,6147,6281,98
2026-04-07,5758,7771,74
2026-04-14,16883,9801,172
2026-04-21,13500,13797,98
2026-04-28,15826,22019,72
2026-05-05,16176,30100,54
2026-05-12,15609,39825,39
2026-05-19,16176,46508,35
2026-05-26,7456,49364,15
2026-06-02,12261,44018,28
2026-06-09,3023,37014,8
2026-06-16,4282,29752,14
2026-06-23,-3367,21057,-16
2026-06-30,-2025,14253,-14
2026-07-07,-5833,9534,-61
2026-07-14,-6563,5061,-130
2026-07-21,-7708,1892,-408
2026-07-28,-5169,322,-1607
2026-08-04,-10457,-2070,505
2026-08-11,-4237,-2192,193
2026-08-18,-5204,-2196,237
2026-08-25,-3040,-2581,118
2026-09-01,-4792,-1955,245
2026-09-08,2224,-1975,-113
2026-09-15,NA,-1885,NA
2026-09-22,NA,-1000,NA
2026-09-30,NA,-785,NA
