Well,latitude,longitude,datasource,status,summary,type
OW407,49.21599,-119.54109,Active well with real-time data,Active,Observation Well 407 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #255 near Oliver.,Unconfined
OW404,49.31622,-119.72883,Active well with real-time data,Active,Observation Well 404 was included in the network in 2011. It is located in a bedrock aquifer identified as Aquifer #260 near Twin Lakes.,Bedrock
OW403,49.33003,-119.72338,Active well with real-time data,Active,Observation Well 403 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #261 near Twin Lakes.,Unconfined
OW409,50.510481,-119.225923,Active well with real-time data,Active,Observation Well 409 was included in the network in 2012. It is located in an unconfined sand and gravel aquifer identified as Aquifer #103 near Spallumcheen.,Unconfined
OW411,49.83667,-119.68638,Active well with real-time data,Active,Observation Well 411 was included in the network in 2012. It is located in a bedrock aquifer identified as Aquifer #304 near West Kelowna.,Bedrock
OW410,49.88097,-119.254509,Active well with real-time data,Active,Observation Well 410 was included in the network in 2012. It is located in a bedrock aquifer identified as Aquifer #473 near Kelowna.,Bedrock
OW442,49.950925,-119.365802,Active well with real-time data,Active,Observation Well 442 was included in the network in 2013. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna.,Confined
OW413,49.856567,-119.39871,Active well with real-time data,Active,Observation Well 413 was included in the network in 2013. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna.,Confined
OW467,49.02232,-119.42551,Active well with real-time data,Active,Observation Well 467 was included in the network in 2018. It is located in an unconfined sand and gravel aquifer identified as Aquifer #194 near Osoyoos Lake.,Unconfined
OW506,49.24813,-119.52476,Active well with real-time data,Active,Observation Well 506 was included in the network in 2021. It is located in an unconfined sand and gravel aquifer identified as Aquifer #255 near the Okanagan River.,Unconfined
OW512,49.082627,-119.571678,Active well with real-time data,Active,Observation Well 512 was included in the network in 2023. It is located in a bedrock aquifer identified as Aquifer #238 in the South Okanagan Grasslands Protected Area near Osoyoos.,Bedrock
OW510,50.436207,-119.227912,Active well with real-time data,Active,Observation Well 510 was included in the network in 2023. It is located in a confined sand and gravel aquifer identified as Aquifer #1153 near Armstrong.,Confined
OW172,50.111364,-119.356336,Active well with real-time data,Active,Observation Well 172 was included in the network in 1972. It is located in an unconfined sand and gravel aquifer identified as Aquifer #1238 in Oyama.,Unconfined
OW154,49.57765,-119.63526,Active well without real-time data,Active,Observation Well 154 was included in the network in 1969. It is located in an unconfined sand and gravel aquifer identified as Aquifer #297 near Summerland.,Unconfined
OW115,49.94642,-118.94698,Active well with real-time data,Active,Observation Well 115 was included in the network in 1970. It is located in an unmapped bedrock aquifer near Graystokes Provincial Park.,Unknown
OW117,50.427103,-119.227723,Active well with real-time data,Active,Observation Well 117 was included in the network in 1971. It is located in a confined sand and gravel aquifer identified as Aquifer #1155 near Armstrong.,Confined
OW180,50.403154,-119.216609,Active well with real-time data,Active,Observation Well 180 was included in the network in 1972. It is located in an unconfined sand and gravel aquifer identified as Aquifer #353 near Armstrong.,Unconfined
OW236,49.879083,-119.399573,Active well with real-time data,Active,Observation Well 236 was included in the network in 1979. It is located in a confined sand and gravel aquifer identified as Aquifer #464 near Rutland.,Confined
OW262,49.860097,-119.421006,Active well with real-time data,Active,Observation Well 262 was included in the network in 1980. It is located in a confined sand and gravel aquifer identified as Aquifer #464 in Kelowna.,Confined
OW282,49.26313,-119.59171,Active well with real-time data,Active,Observation Well 282 was included in the network in 1983. It is located in a confined sand and gravel aquifer identified as Aquifer #257 in Willowbrook.,Confined
OW311,50.320322,-119.202478,Active well without real-time data,Active,"Observation Well 311 was included in the network in 1991, deactivated in 2001, and reactivated in 2006. It is located in a bedrock aquifer identified as Aquifer #351 near Vernon.",Bedrock
OW264,49.11888,-119.67838,Active well without real-time data,Active,Observation Well 264 was included in the network in 1980. It is located in a bedrock aquifer identified as Aquifer #1113 near Mt. Kobau.,Bedrock
OW332,49.137819,-119.569162,Active well without real-time data,Active,Observation Well 332 was included in the network in 1997. It is located in an unconfined sand and gravel aquifer identified as Aquifer #254 in Oliver.,Unconfined
OW356,50.008442,-119.3918,Active well with real-time data,Active,Observation Well 356 was included in the network in 2004. It is located in a confined sand and gravel aquifer identified as Aquifer #344 in Winfield.,Confined
OW401,49.023341,-119.363599,Active well without real-time data,Active,Observation Well 401 was included in the network in 2010. It is located in a bedrock aquifer identified as Aquifer #808 near Osoyoos.,Bedrock
OW387,49.66968,-119.38021,Active well with real-time data,Active,Observation Well 387 was included in the network in 2008. It is located in an unmapped bedrock aquifer near Naramata.,Unknown
OW402,49.030404,-119.347269,Active well with real-time data,Active,Observation Well 402 was included in the network in 2010. It is located in a bedrock aquifer identified as Aquifer #936 near Osoyoos.,Bedrock
OW384,50.499953,-119.211984,Active well with real-time data,Active,Observation Well 384 was included in the network in 2008. It is located in a confined sand and gravel aquifer identified as Aquifer #102 in Hullcar.,Confined
OW405,49.16931,-119.5639,Active well with real-time data,Active,Observation Well 405 was included in the network in 2011. It is located in an unconfined sand and gravel aquifer identified as Aquifer #256 in Oliver.,Unconfined
OW412,49.73,-120.16,Active well with real-time data,Active,Observation Well 412 was included in the network in 2012. It is located in a bedrock aquifer identified as Aquifer #1264 near Summerland.,Bedrock
